date,stock,factor_name,factor_value
2024-02-08,QQQ.O,GFN_Momentum,0.8284338880236165
2024-02-08,BRK.B.N,GFN_Momentum,1.0681884624185043
2024-02-09,AAPL.O,GFN_Momentum,0.41444938463440517
2024-02-09,MSFT.O,GFN_Momentum,0.6311947746431116
2024-02-09,NVDA.O,GFN_Momentum,0.9913570372154279
2024-02-09,SPY.P,GFN_Momentum,0.5122319885349554
2024-02-09,QQQ.O,GFN_Momentum,0.5179864100734795
2024-02-09,BRK.B.N,GFN_Momentum,0.6697184933992686
2024-02-12,AAPL.O,GFN_Momentum,-0.15085789444733785
2024-02-12,MSFT.O,GFN_Momentum,0.6667398699178615
2024-02-12,NVDA.O,GFN_Momentum,0.2907382048835924
2024-02-12,SPY.P,GFN_Momentum,0.7199930497160393
2024-02-12,QQQ.O,GFN_Momentum,0.4032961545074451
2024-02-12,BRK.B.N,GFN_Momentum,0.5960515121920966
2024-02-13,AAPL.O,GFN_Momentum,-0.7478611026895715
2024-02-13,MSFT.O,GFN_Momentum,-0.11068997113919582
2024-02-13,NVDA.O,GFN_Momentum,0.507434066256686
2024-02-13,SPY.P,GFN_Momentum,-0.36195526997111377
2024-02-13,QQQ.O,GFN_Momentum,-0.1945042882969106
2024-02-13,BRK.B.N,GFN_Momentum,-0.0681745042641049
2024-02-14,AAPL.O,GFN_Momentum,-0.9095518474727574
2024-02-14,MSFT.O,GFN_Momentum,-0.5316894044172665
2024-02-14,NVDA.O,GFN_Momentum,0.4631242163429085
2024-02-14,SPY.P,GFN_Momentum,-0.31346849170514646
2024-02-14,QQQ.O,GFN_Momentum,-0.16779295788316018
2024-02-14,BRK.B.N,GFN_Momentum,-0.07386627849961006
2024-02-15,AAPL.O,GFN_Momentum,-0.7841770410528612
2024-02-15,MSFT.O,GFN_Momentum,-0.8002336092575197
2024-02-15,NVDA.O,GFN_Momentum,0.3078452661973348
2024-02-15,SPY.P,GFN_Momentum,0.10553193134848726
2024-02-15,QQQ.O,GFN_Momentum,-0.11827738311074203
2024-02-15,BRK.B.N,GFN_Momentum,0.4769634366430761
2024-02-16,AAPL.O,GFN_Momentum,-1.1598064181077996
2024-02-16,MSFT.O,GFN_Momentum,-1.5984862011291123
2024-02-16,NVDA.O,GFN_Momentum,-0.24239966527811047
2024-02-16,SPY.P,GFN_Momentum,-0.5925343244949111
2024-02-16,QQQ.O,GFN_Momentum,-0.9501441121598134
2024-02-16,BRK.B.N,GFN_Momentum,0.659520045552555
2024-02-20,AAPL.O,GFN_Momentum,-1.0131968398818567
2024-02-20,MSFT.O,GFN_Momentum,-1.2513953013494805
2024-02-20,NVDA.O,GFN_Momentum,-0.9245219500896256
2024-02-20,SPY.P,GFN_Momentum,-0.9212365016984074
2024-02-20,QQQ.O,GFN_Momentum,-1.1100631402056154
2024-02-20,BRK.B.N,GFN_Momentum,0.8590539792962767
2024-02-21,AAPL.O,GFN_Momentum,-0.5495255174265379
2024-02-21,MSFT.O,GFN_Momentum,-0.5151623532055639
2024-02-21,NVDA.O,GFN_Momentum,-1.3303517148369464
