symbol,date,open,high,close,low,volume (10K shares)
AAPL.O,2024-04-10,167.5965,167.8844,166.5837,165.9185,"4,970.9336"
AAPL.O,2024-04-11,167.1398,174.2090,173.7920,166.9610,"9,107.0275"
AAPL.O,2024-04-12,173.0175,177.0883,175.2912,172.9679,"10,167.0886"
AAPL.O,2024-04-15,174.1097,175.3706,171.4587,171.2701,"7,353.1773"
AAPL.O,2024-04-16,170.5254,172.5211,168.1723,167.0702,"7,371.1235"
AAPL.O,2024-04-17,168.4007,169.4333,166.8022,166.8022,"5,090.1210"
AAPL.O,2024-04-18,166.8320,167.4376,165.8490,165.3625,"4,312.2903"
AAPL.O,2024-04-19,165.0249,165.2136,163.8236,162.9052,"6,814.9377"
AAPL.O,2024-04-22,164.3349,166.0675,164.6576,163.5952,"4,811.6443"
AAPL.O,2024-04-23,164.1711,165.8589,165.7100,163.7441,"4,953.7761"
AAPL.O,2024-04-24,165.3526,168.0929,167.8149,165.0249,"4,825.1835"
AAPL.O,2024-04-25,168.3163,169.3936,168.6787,166.9521,"5,055.8329"
AAPL.O,2024-04-26,168.6688,170.1184,168.0929,167.9738,"4,483.8354"
AAPL.O,2024-04-29,172.1339,174.7749,172.2630,171.8658,"6,816.9419"
AAPL.O,2024-04-30,172.0942,173.7423,169.1156,168.7879,"6,593.4776"
AAPL.O,2024-05-01,168.3709,171.4736,168.0929,167.9043,"5,038.3147"
AAPL.O,2024-05-02,171.2800,172.1786,171.7963,169.6716,"9,421.4915"
AAPL.O,2024-05-03,185.3142,185.6667,182.0725,181.3576,"16,322.4110"
AAPL.O,2024-05-06,181.0538,182.8867,180.4144,179.1336,"7,856.9667"
AAPL.O,2024-05-07,182.1420,183.5817,181.0995,180.0272,"7,730.5771"
AAPL.O,2024-05-08,181.5463,181.7647,181.4371,180.1563,"4,505.7087"
AAPL.O,2024-05-09,181.2584,183.3434,183.2540,180.8116,"4,898.2972"
AAPL.O,2024-05-10,183.8307,184.0196,181.9914,181.0767,"5,075.9496"
AAPL.O,2024-05-13,184.3626,186.0180,185.2027,183.5523,"7,204.4809"
AAPL.O,2024-05-14,186.4256,187.2110,186.3460,185.2126,"5,239.3619"
AAPL.O,2024-05-15,186.8233,189.5474,188.6228,186.2864,"7,039.9988"
AAPL.O,2024-05-16,189.3685,189.9899,188.7421,188.5631,"5,284.5230"
AAPL.O,2024-05-17,188.4140,189.7065,188.7719,188.0859,"4,128.2925"
AAPL.O,2024-05-20,188.2301,190.8101,189.9352,187.9169,"4,436.1275"
AAPL.O,2024-05-21,189.9849,191.6154,191.2376,189.8159,"4,230.9401"
AAPL.O,2024-05-22,191.1531,191.7079,189.7960,189.1696,"3,464.8547"
